playlist_idx,cluster,relevance,diversity,serendipity
2,3,0.4360135286358492,0.5513866560850386,0.2618454795215548
7,1,0.4798400640654824,0.49431286701729227,0.2190354848589927
10,0,0.6051509291311058,0.4667505800743539,0.2866590590508045
17,2,0.5305588331980413,0.33480141824691134,0.12476749451663337
28,2,0.672486177077035,0.31161227535900826,0.1348127468313304
29,2,0.5791874736270416,0.3112246151072221,0.11536147732706896
31,0,0.7255925201365298,0.20264954810445168,0.28245741175631817
46,0,0.6091457755396947,0.39866314203543063,0.3167640852165761
47,3,0.5146691846251424,0.5272076587110777,0.18269054178636668
56,0,0.4928765777311323,0.473919469019491,0.17890553266392212
60,3,0.48048698136600126,0.3289156084665299,0.27201031162209827
64,3,0.43957806506232944,0.5041227014392413,0.18883309292879416
72,2,0.6302834288002007,0.32993558446376614,0.15285245084917395
85,2,0.6667790244773255,0.33002149511381007,0.11996778141495426
108,3,0.5418318120424085,0.5374595730515689,0.308960223793672
121,1,0.5197559285739348,0.45782165290122956,0.2052335492235959
126,0,0.5756699779849306,0.37802544239166813,0.17082570280111634
165,1,0.6109878141389973,0.3464447944546595,0.11620539809472182
179,1,0.5269691607055154,0.45805262215522524,0.28104791452148276
183,2,0.6822802794930476,0.33055827386975134,0.2912803826281837
188,3,0.520631214957461,0.4526904949719073,0.1654962825523829
198,1,0.6602699781241427,0.33728158262289043,0.12412730762792627
211,0,0.7142148267290839,0.21936470704009037,0.09036696842918443
213,2,0.6788162286633931,0.34889769915403557,0.19770189884225756
245,3,0.5101981730892213,0.3555915446943827,0.26133045953988404
246,1,0.5884419366731566,0.3433596723696628,0.12446151886265407
250,2,0.6826934608798799,0.34182625008057477,0.14540662010286634
311,0,0.7285496586555014,0.3138849544315797,0.13886128495366515
334,1,0.5436892409803769,0.437045261320824,0.25576013198111425
337,2,0.5127070416665316,0.47472506056682584,0.1697049731310813
346,2,0.6548573409154758,0.32341262481851063,0.4004642164037223
358,2,0.6157771807542441,0.3128338741233996,0.11047097894421244
360,1,0.6081274930216873,0.30973842926091155,0.1226133183012389
365,3,0.509202868258738,0.5655489979786875,0.21824510988089305
373,1,0.6977615541034662,0.3285491720303101,0.32298387834726444
378,1,0.6676628783012016,0.32723928573732197,0.22371107760298065
401,0,0.5658034599913903,0.4401548667466286,0.17773246274789056
402,2,0.4752187256677117,0.410882852411001,0.15896900481329998
417,2,0.581269810416388,0.35584907774054697,0.1304259916851944
420,1,0.5685729845581055,0.341584525516598,0.12459669042621524
431,3,0.6093718688178317,0.3378393836259945,0.12412641661103684
449,1,0.47775875890390285,0.5672200986066993,0.29334716999148747
469,2,0.66423297918624,0.3219326937255593,0.11904749480681591
486,1,0.7044981995985179,0.28830542321256114,0.335791201069554
518,2,0.5536400384877932,0.29882981598008806,0.13172008854552977
526,1,0.6712128616380553,0.22566096502499478,0.14975099923954976
541,1,0.6841418442147612,0.31072387211181274,0.18020518184371564
555,2,0.6600050612172524,0.3196616956326398,0.32642495786433345
560,3,0.5505925753732365,0.3009227830854857,0.13225804680116812
566,1,0.552518993702517,0.32070152813347264,0.13319630479457942
576,2,0.7193032010200123,0.30588888994920105,0.13219617380878096
586,1,0.5018155188897079,0.5054924781513312,0.18973890199498575
591,2,0.643292930071387,0.3109832878057385,0.13581853774436758
602,2,0.6567378813349836,0.3321679448736212,0.15852926305312337
619,3,0.588278054463459,0.38155195896770877,0.13196280149810868
627,1,0.7052912233628249,0.3327868604725901,0.37079710471416716
628,2,0.6252279098018924,0.3357386485326074,0.1479562068928051
638,0,0.6706054754671118,0.27984980136981974,0.3761407775901952
643,2,0.5930986136342182,0.39078107510845894,0.20975610127127278
660,1,0.7316750115216352,0.29816900855626904,0.14160406897167485
672,2,0.6636058331623669,0.3091047645350147,0.14368564659759522
675,2,0.6461123107343308,0.33770109758235056,0.15716873786606794
678,1,0.5330224594384791,0.3960447390471815,0.2265658237820449
699,1,0.6760509169582275,0.3336325062791299,0.13311466594770488
705,3,0.5562893833945349,0.48358528770354536,0.2008195737702383
709,1,0.6279323872435703,0.32179187998062997,0.14502652259630075
710,1,0.7064067170303409,0.3073998166362255,0.1404063454299599
711,2,0.686968628149015,0.3093946081286937,0.14775858420863727
713,3,0.45079284190243496,0.343510411470315,0.2517078934351327
720,1,0.7020636369711256,0.33765662000854113,0.12908863292147932
722,1,0.5427732865107904,0.32697468743291747,0.11268424519963724
724,3,0.6177116392929306,0.44915940028504064,0.20468171661020598
732,3,0.49386529550648,0.4886810312613995,0.18545779824130235
757,1,0.5651599659880254,0.42147215201249477,0.18156732098062425
769,1,0.5692003870902812,0.31528507970360375,0.10151790428085973
780,1,0.6639404373069097,0.3021616664595358,0.12188801817836974
790,3,0.466249245104769,0.526854028712999,0.28390491095193776
791,2,0.6717869560181794,0.302752293744074,0.24820425737536492
797,3,0.42896663954121267,0.5460567965137089,0.1649533244081742
799,0,0.7825904717343274,0.23007351744192883,0.3076438474680221
802,3,0.5516791611269147,0.451201735466899,0.1894094880537051
857,1,0.6521727082238427,0.31021849440345106,0.13122701500755185
861,3,0.7024033775980284,0.3057932361981577,0.1399765764616493
871,2,0.6633530241028202,0.32707269904904024,0.124657745139326
887,2,0.6172863699667767,0.39439613986546507,0.17190791890543308
893,3,0.43858871412565587,0.5618694565997794,0.27430961729030257
899,3,0.47305452085121497,0.48397518525106975,0.15692213229217608
902,0,0.4374317757916812,0.4527869871261828,0.22554008175394702
914,0,0.7808797131582055,0.26843669224200795,0.1291922640140142
938,0,0.7414135124182312,0.22273532436839594,0.29392550402828993
947,0,0.43815022535338666,0.536610845147121,0.23489945258029268
948,1,0.6672990614264667,0.33449445656698906,0.1490002212504039
961,1,0.6213148462410463,0.3156667486429955,0.30290955268080916
968,0,0.5353884290630572,0.5021244945764439,0.36785905614440767
980,1,0.6852458388388346,0.27736654093898816,0.1541470263516147
993,2,0.635424337394573,0.3236933026793408,0.12477093599200277
994,2,0.682515115954963,0.30549167561458157,0.1306032746427296
