track_name,track_uri,previewUrl
Devil Town,spotify:track:4gCgeiKaX31tqgeYqXJc4P,https://p.scdn.co/mp3-preview/ffc1e4cb73616bb2cf34ae1ed89e70486840d0b7
Red Eye Lids,spotify:track:0LuzeRkYB2qs2tKRDVaKnH,https://p.scdn.co/mp3-preview/ffbdff16a99dc6faac1fd4610e820385fefc0d8c
Sleep Easy,spotify:track:4v6ck7kwIkDZ2d5kdny1gO,https://p.scdn.co/mp3-preview/ffbccd1b7f6ffe07fd140000041a6bd8599bb348
Quicksand,spotify:track:1R1yJO9oVNcq1ae8AZH0kT,https://p.scdn.co/mp3-preview/ffbcc25c3083414d4f6e02e24749e573471cbef8
Feel Something,spotify:track:0vMI3AJPQMjytAu8XMWr65,https://p.scdn.co/mp3-preview/ffbc862ae64385fbaedd6d49fbca14b886d675d2
LAFS (Love at Fiirst Sight) [feat. Ceeza],spotify:track:3PYHP4DDCE0XHOl2H3mgEs,https://p.scdn.co/mp3-preview/ffbc5dc99068840926d69fd90ca64de998ef3d4f
Champagne & Sunshine (Ellusive Remix),spotify:track:1H47LILEj9nGb74EPcZKWw,https://p.scdn.co/mp3-preview/ffbbfe3a2e4f084f25cb5e13b5364dee0c3b3070
"Carmina Burana / 2. In Taberna: ""In taberna quando sumus""",spotify:track:1QEcRZQqWrjVa1lBDB0M3Z,https://p.scdn.co/mp3-preview/ffbac18627224fe814fe1a54b9b848bf7a1775ea
Too far into,spotify:track:4AuQjmka2pIMgWR2BVG815,https://p.scdn.co/mp3-preview/ffb86ebb236284ab7e89bedff301fd38d90e57f3
Yiken (Certified),spotify:track:67ncKGqScuJdNUN6bTqclA,https://p.scdn.co/mp3-preview/ffb796b573267cc3b790ccf83b5cb77bdfa5e71f
1968,spotify:track:0CsT3gRGhXrMRUBxwgMFNk,https://p.scdn.co/mp3-preview/ffb485c3b6ff792f143c802077afdf513e5b67c9
Too Bad / So Sad,spotify:track:1cXFVAb81Sh0deOedv0HD6,https://p.scdn.co/mp3-preview/ffb27082a22341b8845c43c79b6a0aaed3f3d2ac
Dancing Machine,spotify:track:0xqb2Euq1PAxKHBA36NUnx,https://p.scdn.co/mp3-preview/ffb06d5afa0bd3d24334c8eb854da89bd216b402
Pigs,spotify:track:5L4n81Ecf8UE837uJkuoJJ,https://p.scdn.co/mp3-preview/ffaf11805e23319bb5fce702601649f11d5865ae
Ur,spotify:track:7sg9ToL94GAiksETi5GZGz,https://p.scdn.co/mp3-preview/ffaceedc1b8d59b87c3aef9732260b7c926c5e9f
Campo,spotify:track:6uebH2zFyW3yrgC8haeIWK,https://p.scdn.co/mp3-preview/ffabedee3546f771c288eadd6006bfa347cbda97
I Won't Say (I'm in Love),spotify:track:1HSJMLtNeDryJN76Tu5Ahf,https://p.scdn.co/mp3-preview/ffab1cec5b7ccdf683ae0a252d01266ae989519d
I Got It,spotify:track:6dLxv5Yr3vzItGTEOFulvK,https://p.scdn.co/mp3-preview/ffaa6f1c208c25df6a5f7c2559c959edb016d02c
Mixtape,spotify:track:4ktf1qnDtqC3Zr8moXLZKn,https://p.scdn.co/mp3-preview/ffa785592b605b26cae59fdfe8404369765e19fd
Extra Wavy - Bonus Song,spotify:track:54LTUUGobKq5pAAIRcYmHz,https://p.scdn.co/mp3-preview/ffa767857af9b81735b29717b069c929d8ef43ea
Heartbeat,spotify:track:6x2w38zlkGYihidW7BpJ4m,https://p.scdn.co/mp3-preview/ffa73162a727f4b8da33e81dcfacb5543889b824
Whose Side Are You on (feat. Ruelle),spotify:track:6zVym2AAC2tvRQnpG3tj3j,https://p.scdn.co/mp3-preview/ffa63b5768478d02483348a948208621f5d54a44
"Einstein on the Beach (Highlights): Act IV, Scene 2 - Bed",spotify:track:4XCund9gNnaFZUUDsJmIGC,https://p.scdn.co/mp3-preview/ffa62eee6841aec5d776b78b9645366788b0e361
Three Oh Nine,spotify:track:4PnyYTWR4QIdGrP36B91GX,https://p.scdn.co/mp3-preview/ffa35e8c2f3ed14f0052c4b7af78439a2aefb6e3
Up Up & Away,spotify:track:1RUTIdTnFs8lHSc0Zr4UJB,https://p.scdn.co/mp3-preview/ffa2aa197b2a3919061ec621389122dabc5f90ac
My Angel Is Here,spotify:track:6sFegZv7Hl3S7LjqduqxD5,https://p.scdn.co/mp3-preview/ffa26983ee12b49cdd82556610f7502c1f140eb2
I Wanna Dance With Somebody,spotify:track:0hXIuHaz9Z2YYbiowNuMYD,https://p.scdn.co/mp3-preview/ffa1754815fa1c922ab48582b839eebe22463acf
All of Me - Live from Spotify Milan,spotify:track:6nyZQ82OI0OujbbFpo3e0K,https://p.scdn.co/mp3-preview/ff9ef9ac9c6fdb1a90bd7273e57c3c6b667ecca9
25/8,spotify:track:24Dn07w5JMvdfIlAVNfjTi,https://p.scdn.co/mp3-preview/ff9a1106606c77cb750c82076cd5f00b2bd0044f
BDE Bonus,spotify:track:653FhwnB8YXSwqbuPn8eB4,https://p.scdn.co/mp3-preview/ff99cd7d6bd5531b83e2fe5cf1177edc21fccf6e
Parsifal: Prelude to Act One by Richard Wagner,spotify:track:6pWzrkvEbNIVrDvQ8QChNv,https://p.scdn.co/mp3-preview/ff97368a49205938f1861acaafdc075d1de7be87
Don't Wake Me Up,spotify:track:0VPCvHmj1y9PIKmDcwKyoG,https://p.scdn.co/mp3-preview/ff970aff55113ce007defb069b4b4de2a31318a4
Whalebones,spotify:track:366ZW1m6mM8OnHr4fyucNj,https://p.scdn.co/mp3-preview/ff934695351efcf5eaa948cb9223a8947544ec65
Bad Girl,spotify:track:3kfdcTF1By6RwjcL1WmThV,https://p.scdn.co/mp3-preview/ff92a6cb89d588e077096d268c39c8d729121737
Будущая,spotify:track:0D2m37NGWZsgddo0brMK6v,https://p.scdn.co/mp3-preview/ff92831139d52558875eb588055bcc4ecead6c7e
The Heart Of Dixie,spotify:track:74cGFYYAPwurqQN6fqtHfh,https://p.scdn.co/mp3-preview/ff916f56145231c77de4a6505c37b28772096ad5
Oh Oh Oh Oh Oh Oh Oh Oh,spotify:track:450JYpIA414XrVGB17NXLT,https://p.scdn.co/mp3-preview/ff914a1b97cf2c3cf3c61f30feb1fd862ea18757
How Much I Feel,spotify:track:3GVhCuS4BRxCTvVj4Cmc8w,https://p.scdn.co/mp3-preview/ff8efe717128e720bc3dc81108f8e5b4eea15f23
Hard Knock Life (Ghetto Anthem),spotify:track:5IVCuswUfdYjl2eQ2FHqUd,https://p.scdn.co/mp3-preview/ff8da9e66cd80b6d6c69131a7790af7cafb29d5f
She Wants To Move - Justice Remix;,spotify:track:7g4K04OBAxOkReyTGazHmS,https://p.scdn.co/mp3-preview/ff8cc99ddf279c6249cb5a0511c85422d058f6d8
Where You Are - Reimagined,spotify:track:3uVEf2Iz9OCpVb7YwfNDXG,https://p.scdn.co/mp3-preview/ff8ba6fc18075f69f530ab45138eaa89b10924e5
Gimme Ya Love,spotify:track:09g6hxyvTCCnj8Sdwgpyuq,https://p.scdn.co/mp3-preview/ff8af6880cd028bfb7f17da91c6569cb88f344fe
Let's Go,spotify:track:19xSVTy7c5jBGmHHgVXNbg,https://p.scdn.co/mp3-preview/ff8a0aeadcd5a60335c2dc73acdefaccab16baa0
Up There,spotify:track:2rKmNEYrQxaOPZrOWKZpOc,https://p.scdn.co/mp3-preview/ff86e61ae29f967c17a9cdc85211d089dc88d838
Blade Of Woe,spotify:track:4AiedQKPv4apGjCfg6SBfw,https://p.scdn.co/mp3-preview/ff847d7de04e08cf5be3ee426299a2491c9c2cfe
I'm Your Boogie Man,spotify:track:3Hya20ZNnlLzGLCpzJR6bv,https://p.scdn.co/mp3-preview/ff842dba624361bddcf218f1f4a23363c5824872
Gracias a la Suegra - Remix,spotify:track:0DDcKpyVoC6Xp4x49LqwlE,https://p.scdn.co/mp3-preview/ff82624b616f70e6d0ad46089422baf42e3295b6
BTSTU (Edit),spotify:track:2NRRrr8ylDK38KD3Ffbw4K,https://p.scdn.co/mp3-preview/ff8207edf88541fd623e0ff7ed8bf0a0bd104545
Posters,spotify:track:3viVcn8jgbZ97HR0ghjzKx,https://p.scdn.co/mp3-preview/ff816066df24f53360024807331a068736edfb74
Dont Mean a Thing,spotify:track:7hK1DxkvP84Msk5HHoTecg,https://p.scdn.co/mp3-preview/ff80126be2aedda7a1eebe86b1f2dae1e843853c
What They Say,spotify:track:1TOiDnIY8HgPyDLSR08QXq,https://p.scdn.co/mp3-preview/ff7fde3d27610e6d34672a44b76c45cc1a7909dc
"Tea, Milk & Honey",spotify:track:5WRR0hMHbpudiTOoj4vsX0,https://p.scdn.co/mp3-preview/ff7f432b03d25ee0355a102210b9c3ff3b7d795b
Fun,spotify:track:2cZIEKaEQVRqj9BzLDwAR5,https://p.scdn.co/mp3-preview/ff7d84c1ec53128140fadae76a3826f6ca24a46b
Say Goodbye,spotify:track:23fZMJjaf2u7JM7NRFmWAO,https://p.scdn.co/mp3-preview/ff7b5d884a8aa02ab45d83a7eaa6962f2dc90d57
Planets,spotify:track:4BqYQ1WQ0GFE1xmIaduKLi,https://p.scdn.co/mp3-preview/ff77e942c05cd58c864f859a2d4bc217fdb62524
Twin Rivers,spotify:track:36V422RSRADllcKoJK6v6z,https://p.scdn.co/mp3-preview/ff76bdb8ce971a7d23a85d60cb14f22ff590b31d
The Girl Next Door,spotify:track:41hXE5S8D4mRfcdqSMpmAC,https://p.scdn.co/mp3-preview/ff7562b5871d3a75f101254730c9b9cc008e6613
Somethin' 'Bout A Truck,spotify:track:6Ymvlzom4TQeoKqAWsZRD8,https://p.scdn.co/mp3-preview/ff703a1976b763fb8a31305765a650e299c6c603
Shadow,spotify:track:21BrL78LaCFPx572SYolGo,https://p.scdn.co/mp3-preview/ff6ea601fa47bc9c8e4fc7b9af29fd9ec138f6b7
Stealing Cars,spotify:track:3aBOGGAjllxDqGRgewnYIu,https://p.scdn.co/mp3-preview/ff6c9b94c74dbf8edd2ef966ff04bf8ea0e81fde
Dreaming - The Chainsmokers Remix,spotify:track:0xRPBwr04hGjSrFXQ1xRNg,https://p.scdn.co/mp3-preview/ff6b6336085d57a241a9a2f5b155ee451f6c19b4
Una Mas Cerveza,spotify:track:1m6sUQvdi5Rmo5grzATOgW,https://p.scdn.co/mp3-preview/ff6aec9ad60a13ad6df0d0132bbc7fcc119baa5b
