track_idx,joy,calm,sadness,fear,energizing,dreamy
5,0.15211301565965066,0.1554185922848181,0.10697483871262221,0.2017603177332027,0.19696834329784313,0.18676489231186322
15,0.16226456299696979,0.03011831068437718,0.0021505599247816573,0.008668168270899567,0.42931187812258065,0.3674865200003911
36,0.2935499355290792,0.11536956047918416,0.0011145829114113557,0.0026804627248875573,0.29522029205295935,0.29206516630247836
38,0.005309437309057695,0.018578188799398963,0.3061130396849413,0.346906616734181,0.19528330422313833,0.12780941324928272
50,0.00307762391887045,0.01578005232040323,0.3405802643163283,0.17927327729767492,0.1928562579417162,0.2684325242050069
55,0.10783404844687648,0.019644373603386087,0.19398776025369935,0.20471867871774949,0.28087558278492614,0.19293955619336248
58,0.21209808729184773,0.08776372272209103,0.12124803783301366,0.11728146472995356,0.23126246785700155,0.2303462195660925
66,0.008102837850644208,0.020375609883884465,0.2612037020657227,0.24019994447835574,0.25403737933992515,0.2160805263814677
78,0.0023270530265857388,0.01814674591945937,0.4269842792805227,0.3336412962890338,0.11320755643572476,0.10569306904867373
81,0.005687788975606089,0.0020517782846065286,0.3068047275619857,0.21755655368600588,0.33651200040836216,0.13138715108343363
86,0.036512096155730166,0.01345609817358862,0.3153774813181917,0.25441675405068487,0.23565439675783142,0.1445831735439732
94,0.1060668307322824,0.12277603253567167,0.23446116701768163,0.14361673573591724,0.20108127254753289,0.19199796143091416
96,0.03941739631904584,0.030160210289762446,0.2274016803871715,0.25305403766179035,0.2708886337165754,0.17907804162565444
98,0.09071377542328639,0.07391109199918668,0.21791033088053458,0.21386644153674528,0.2143275365584248,0.1892708236018223
103,0.142157699329167,0.001235730024997291,0.19287251495538682,0.17994802230106274,0.2508081589834309,0.23297787440595527
106,0.01511375492601973,0.004205260556857736,0.27895289965664405,0.23954179968722453,0.26233314644870975,0.1998531387245442
118,0.06552616784856884,0.011984830209460135,0.31879814290941605,0.07019905045181182,0.27360858029240376,0.25988322828833926
126,0.16344341099499357,0.16558498820637604,0.14829660173145903,0.1641648364477748,0.20289103623718896,0.15561912638220754
134,0.09229164945955659,0.14885272112667355,0.09575918409060709,0.048769735228504446,0.3793876719936467,0.23493903810101155
136,0.12742713576456718,0.09809639544430199,0.1834858044690164,0.2470957373000788,0.19572952578724728,0.1481654012347883
139,0.005507056106747793,0.181266090215754,0.18433809088491038,0.2404661068123038,0.2304102836745875,0.15801237230569656
145,0.11904784561670452,0.10404914264620478,0.19636853006010727,0.19754060110160224,0.20206356161945355,0.18093031895592765
162,0.13818368910244383,0.041399023413538086,0.05199399921623654,0.09894288894386609,0.3859927382747268,0.2834876610491885
165,0.00807923401317407,0.18979850815735672,0.29764074925258804,0.028841478104424417,0.36404268210427293,0.11159734836818369
176,0.05277639235658606,0.0999652327569945,0.22852192643723024,0.21164277194394554,0.21836168093562208,0.18873199556962159
184,0.053088565803992044,0.17021185295601649,0.17513756753683343,0.06260551509501859,0.30613440477432063,0.23282209383381877
186,0.1802210112909218,0.039953813593185,0.11885166692380007,0.1537223481436339,0.2889168470652967,0.21833431298316258
192,0.30010712666545936,0.02018849649622859,0.006405533956337839,0.06441808878850827,0.42468722733973596,0.18419352675372996
199,0.03929764432998593,0.010685946388346393,0.3434404675768896,0.27748639232731004,0.2645012144448275,0.06458833493264046
232,0.0069181611316231455,0.008098221686503886,0.49134178526034256,0.34413050917665877,0.10113391035837854,0.048377412386493
236,0.001520124827266687,0.0030709202870914014,0.2690254949518226,0.2602267616335503,0.2688764783119023,0.19728021998836662
240,0.28374433361489,0.0014516755779307574,0.002854666744779058,0.00813683618303878,0.3882589923751154,0.31555349550424594
241,0.009098317575337227,0.004378810339418941,0.09371986329470589,0.2082794283250377,0.42532743919843574,0.25919614126706436
244,0.08218956442098323,0.06564964745576975,0.21130996044285252,0.23421735391773288,0.2242230628490668,0.1824104109135948
252,0.267757193979014,0.25735231960289245,0.0011568049298224961,0.0017263862583559242,0.25121029269687284,0.22079700253304227
254,0.03681438729866994,0.007002680421729422,0.16115875240739416,0.13073186650420754,0.47221299432862746,0.1920793190393715
257,0.0064885817494675264,0.024686112678667438,0.3350874235611549,0.1750423064669011,0.2326039521282076,0.2260916234156014
275,0.18572606342961667,0.12723408869191094,0.01687332223580319,0.07399487471140159,0.3791196797397684,0.21705197119149913
280,0.02231072699890639,0.022832640249682363,0.22628510749761185,0.1860093322482322,0.29052563902124934,0.25203655398431785
295,0.1721900244256319,0.2033723902750231,0.009050018653978321,0.00269693725902207,0.30570644247662165,0.3069841869097229
315,0.029525929113113865,0.004958821371682322,0.23774991808515047,0.20978671475979285,0.24814723646374723,0.2698313802065132
323,0.013473626291672782,0.019147760755234538,0.24964869660126854,0.2647610848777665,0.2302319205878989,0.22273691088615868
325,0.00036399986365435685,0.0009054135877877866,0.48562447803502795,0.48296382327574894,0.025202865093183716,0.004939420144597054
331,0.004006819942761706,0.4419622211162757,0.056523145534929944,0.42932969964312945,0.06032065427805907,0.007857459484844263
334,0.3016260933749934,0.09010720421717337,0.0005796241193078322,0.0004377275822326978,0.30401493615843156,0.3032344145478611
340,0.007913627397737436,0.00846229531932931,0.144964063353327,0.17708129039147252,0.3980409275049536,0.26353779603318006
359,0.21705108588329966,0.15457013259004024,0.07239561637227995,0.08057511364030984,0.24185032291351613,0.2335577286005542
367,0.0016862765287809225,0.006258491288067979,0.22833718877552883,0.09245855930248947,0.3787632184755151,0.29249626562961767
368,0.10570384875072517,0.09124517005601007,0.20252564065128695,0.21908221429848262,0.2222014223313702,0.159241703912125
370,0.1574289052183741,0.14140887816475659,0.17099677739369043,0.17434374486816998,0.17983869112245,0.17598300323255894
372,0.0012011600932118162,0.0021321974362775767,0.37822866856551207,0.36176064449407225,0.01487447377933621,0.24180285563159004
376,0.025631864334816946,0.005000239833859923,0.28926629421500627,0.1928442035131503,0.2978964923849665,0.1893609057182
377,0.04109244618712006,0.02173643106747431,0.3012238274896523,0.23659889700717396,0.20017311821133782,0.19917528003724153
385,0.018557510369310012,0.0007395912766927822,0.24513938624241094,0.22901551010812637,0.2651988925352558,0.241349109468204
401,0.06771930828446121,0.04748007213578272,0.20365451824520311,0.2414211295079561,0.23790916325948724,0.2018158085671096
412,0.0028374308000965473,0.0010248640096528967,0.30145400401390626,0.2286329901894037,0.31040965911458407,0.1556410518723565
413,0.10421261918125496,0.17755891615251623,0.15824987466537974,0.18032191334383713,0.20561178727974724,0.17404488937726467
422,0.15111380449812192,0.18630637845128822,0.1457817396255464,0.04549642808298381,0.25355379885008594,0.2177478504919737
